"","name","street","city","state","zip","lat","lng"
"1","Against The Grain Brewery and Smokehouse","401 East Main St.","Louisville","KY","40202","38.2554482","-85.7462517"
"2","Asheville Brewing Company","77 Coxe Avenue","Asheville","NC","28804","35.59167","-82.5574796"
"3","Beachwood BBQ and Brewing","210 E. Third St.","Long Beach","CA","90802","33.769962","-118.1930917"
"4","Brewery Ommegang","656 County Hwy 33","Cooperstown","NY","13326","42.6269","-74.9453"
"5","Church Brew Works","3525 Liberty Avenue","Pittsburgh","PA","15201","40.461952","-79.9666204"
"6","Cigar City Brewing","3924 W Spruce St, Suite A","Tampa","FL","33612","27.9590057","-82.5113798"
"7","Dogfish Head Craft Brewery","6 Village Center Boulevard","Milton","DE","19968","38.7706262","-75.3130817"
"8","Hill Farmstead Brewery","403 Hill Road","Greensboro Bend","VT","05842","44.6072776","-72.2642255"
"9","Jester King Craft Brewery","13005 Fitzhugh Rd.","Austin","TX","78736","30.2307093","-98.0014291"
"10","Maui Brewing Co - Brewpub","4405 Honoapiilani Highway","Lahaina","HI","96761","20.7496051","-156.4409365"
"11","Monhegan Brewing Company","1 Boody Lane","Monhegan","ME","04852","43.758618","-69.321126"
"12","New Belgium Brewing Inc.","500 Linden Street","Fort Collins","CO","80524","40.5928411","-105.0707897"
"13","Pelican Pub and Brewery","33180 Cape Kiwanda Dr.","Pacific City","OR","97135","45.2151506","-123.9726305"
"14","Russian River Brewing Company","725 4th St.","Santa Rosa","CA","95404","38.4418067","-122.7137339"
"15","Sierra Nevada Brewing Co.","1075 E. 20th Street","Chico","CA","95928","39.7225465","-121.8218357"
"16","Stone Brewing Co. - World Bistro and Gardens","1999 Citracado Parkway","Escondido","CA","92029","33.115861","-117.119515"
"17","Three Floyds Brewing LLC","9750 Indiana Parkway","Munster","IN","46321","41.536289","-87.5158"
"18","Tired Hands Brewing Company","16 Ardmore Ave","Ardmore","PA","19003","40.00859","-75.293651"
"19","Tree House Brewing Co","63 St. Clair Road","Brimfield","MA","01010","42.0890064","-72.3351498"
"20","Yuengling Brewery","5th and Mahantongo Streets","Pottsville","PA","17901","40.6838066","-76.2197658"
